,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益
公司,6/28/2024,3/29/2024,12/29/2023,9/28/2023
1101 台泥,7.12,3.15,3.04,4.32
1102 亞泥,8.62,5.07,7.33,8.19
1103 嘉泥,0.25,-3.88,2.6,0.9
1104 環泥,8.12,3.88,9.82,10.25
1108 幸福,5.21,2.33,9.8,8.52
1109 信大,4.44,1.91,7.3,5.89
1110 東泥,3.41,1.38,4.01,3.55
1201 味全,5.18,3.4,2.49,3.96
1203 味王,5.99,2.97,11.03,7.51
1210 大成,8.82,5.57,14.78,13.4
1213 大飲,-11.45,-11.41,-46.77,-30.52
1215 卜蜂,11.13,1.98,18,13.01
1216 統一,11.95,6.24,14.56,14.68
1217 愛之味,10.35,4.73,3.39,3.08
1218 泰山,3.14,1.32,-1.68,-2.62
1219 福壽,1.56,0.76,7.26,5.71
1220 台榮,5.36,2.27,6.41,3.64
1225 福懋油,6.07,2.18,10.47,6.83
1227 佳格,6.38,4.12,5.7,5.69
1229 聯華,7.47,9.72,23.4,17.3
1231 聯華食,8.78,4.97,17.65,9.47
1232 大統益,13.71,5.19,23.22,17.37
1233 天仁,3.52,-1.89,5.2,3.34
1234 黑松,2.33,0.98,5.53,4.21
1235 興泰,63.4,31,21.21,16.83
1236 宏亞,6.41,-2.42,-7.35,-7.87
1256 鮮活果汁-KY,6.71,3.07,9.55,11.81
1301 台塑,0.04,-1.05,4.66,5.31
1303 南亞,4.06,2.3,2.74,4.01
1304 台聚,-0.76,-0.3,-4.19,-0.56
1305 華夏,0.57,-0.36,3.52,4.22
1307 三芳,12.02,7.83,8.94,11.07
1308 亞聚,-3.35,-2.99,-1.16,1.23
1309 台達化,-1.64,-1.07,-5.22,-2.04
1310 台苯,1.74,0.62,8.02,-0.15
1312 國喬,1.58,0.95,-5.33,-2.02
1313 聯成,0.54,3.79,14.68,14.71
1314 中石化,1.15,0.72,-0.95,-2.24
1315 達新,-1.23,-1.38,5.25,4.52
1316 上曜,0.9,-0.04,-2.64,-1.75
1319 東陽,9.15,5.11,12.76,10.58
1321 大洋,1.58,0.98,4.63,5.04
1323 永裕,6.45,4.15,5.38,6.04
1324 地球,0.73,0.43,3.38,3.53
1325 恒大,0.9,0.71,0.81,1.83
1326 台化,-2.45,-2.23,4.77,3.74
1337 再生-KY,-1.58,-0.34,-10.65,-6.25
1338 廣華-KY,2.1,1.89,-2.18,0.05
1339 昭輝,5.7,3.7,11.42,8.55
1340 勝悅-KY,-3.77,-0.38,-22.09,-6.99
1341 富林-KY,11.38,7.09,15.33,15.42
1342 八貫,11.92,5.84,24.93,19.38
1402 遠東新,5.16,2.64,7.08,6.67
1409 新纖,3.68,0.72,6.35,5.08
1410 南染,1.79,1.23,1.24,1.64
1413 宏洲,-2.63,-1.32,-11.43,-9.31
1414 東和,3.14,1.93,3.22,1.79
1416 廣豐,13.8,6.41,-0.42,1.31
1417 嘉裕,-0.91,1.21,-1.72,1.05
1418 東華,-4.81,-2.8,3.34,-6.29
1419 新紡,13.88,7.31,14.87,9.51
1423 利華,10.69,3.41,9.75,6.2
1432 大魯閣,-1.79,-1.45,4.72,6.87
1434 福懋,-9.97,-7.14,2.02,2.42
1435 中福,-5.54,-0.47,27.94,-3.54
1436 華友聯,15.11,-1,26.16,-0.94
1437 勤益控,8.02,3.86,8.19,6.05
1438 三地開發,-2.46,-0.55,-3.36,-1.93
1439 雋揚,5.06,2.87,11.04,6.24
1440 南紡,2.91,0.38,8.68,0.24
1441 大東,33.86,-7.8,-64.27,-42.31
1442 名軒,19.26,7.03,26.15,4.44
1443 立益物流,4.41,0.64,18.43,11.5
1444 力麗,2.67,1.33,-1.47,1.54
1445 大宇,0.48,-0.61,49.63,7.68
1446 宏和,32.81,17.52,7.31,-2.04
1447 力鵬,1.77,-0.33,-2.8,0.26
1449 佳和,5.18,-0.57,5.92,5.51
1451 年興,5.29,1.42,-3.85,-1.45
1452 宏益,5.86,1.75,5.22,2.14
1453 大將,1.98,1.13,4.29,0.31
1454 台富,1.57,1.51,1.95,2.44
1455 集盛,2.31,1.12,-3.57,-4.29
1456 怡華,-5.72,-2.87,0.34,3.39
1457 宜進,-0.1,-0.71,12.14,-1.53
1459 聯發,7.5,0.62,-0.89,-0.37
1460 宏遠,-0.81,1.01,-18.37,-7.89
1463 強盛新,0.94,1.19,5.21,5
1464 得力,7.48,4.46,1.34,4.5
1465 偉全,3.55,2.28,3.44,4.88
1466 聚隆,-0.81,-1.21,-10.02,-9.19
1467 南緯,4.71,2.89,-10.09,-5.03
1468 昶和,10.83,4.25,2.74,6.78
1470 大統新創,5.63,3.25,5.2,5.2
1471 首利,1.85,1.44,-5.36,-3.14
1472 三洋實業,4.12,3.23,12.78,8.35
1473 台南,11.85,8.09,8.48,10.14
1474 弘裕,6.51,5.09,-2.74,-3.74
1475 業旺,19.92,8.71,24.47,20.76
1476 儒鴻,13.53,6.68,20.44,16.34
1477 聚陽,15.1,9.05,25.58,21.71
1503 士電,24.76,19.91,18.02,16.32
1504 東元,2.15,-1.21,4.43,2.97
1506 正道,-0.77,-1.6,2.58,1.75
1512 瑞利,-4.97,-6.29,-1.89,0.99
1513 中興電,23.11,16,19.15,12.88
1514 亞力,9.84,5.37,14.65,11.6
1515 力山,9.54,6.98,8.54,4.53
1516 川飛,6.13,3.91,2.93,3.94
1517 利奇,0.7,0.81,-3.75,-1.27
1519 華城,24.75,10.81,48.47,30.75
1521 大億,3.77,1.8,1.85,5.27
1522 堤維西,13.68,7.49,10.8,9.5
1524 耿鼎,9.8,7.2,12.91,11.33
1525 江申,4.78,2.53,6.78,7.24
1526 日馳,0.96,0.29,3.52,5.75
1527 鑽全,5.92,3.16,7.71,6.98
1528 恩德,-2.09,-1.84,0.62,2.73
1529 樂事綠能,1.57,-0.9,8.29,4.97
1530 亞崴,2.61,0.94,5.15,5.53
1531 高林股,3.04,2.03,-0.25,2.01
1532 勤美,10.62,4.48,6.53,5.72
1533 車王電,-6.08,-3.19,-7.62,-4.14
1535 中宇,6.35,2.82,14.53,11.07
1536 和大,2.41,1.56,3.58,4.62
1537 廣隆,15.09,7.46,14.38,14.21
1538 正峰,-6.78,-2.73,-26.32,-16.61
1539 巨庭,4.29,2.61,3.91,3.76
1540 喬福,8.75,3.86,7.83,6.59
1541 錩泰,6.17,4.26,6.02,5.58
1558 伸興,7,3.8,6.32,6.37
1560 中砂,7.62,3.98,13.9,10.43
1563 巧新,4.79,3.24,8.12,6.11
1568 倉佑,5.81,4.34,17.55,17.05
1582 信錦,12.47,6.95,8.32,9.94
1583 程泰,5.28,0.97,10.66,8.4
1587 吉茂,-0.16,3.2,3.07,5.26
1589 永冠-KY,-6.7,-4.69,-4.59,1.72
1590 亞德客-KY,11.66,5.92,15.58,13.29
1597 直得,3.21,2.16,3.98,5.05
1598 岱宇,0.68,2.27,-2.57,-0.93
1603 華電,8.17,3.72,10.47,6.75
1604 聲寶,7.45,4.81,7.77,7.83
1605 華新,4.73,3.41,8.73,10.79
1608 華榮,6.36,3.35,11.02,7.99
1609 大亞,10.48,3.28,22.97,20.54
1611 中電,4.07,1.72,5.11,4.15
1612 宏泰,7.71,4.41,12.56,8.69
1614 三洋電,2.46,0.73,5.59,4.24
1615 大山,16.19,7.5,22.32,16.8
1616 億泰,1.24,1.82,12.65,7.35
1617 榮星,4.42,2.24,-1.41,3.1
1618 合機,20.29,10.86,18.5,12.65
1626 艾美特-KY,5.32,2.64,-1.47,2.57
1702 南僑,8.52,5.08,7.86,5.96
1707 葡萄王,8.07,3.47,18.59,13.05
1708 東鹼,11.31,5.88,-0.27,1.51
1709 和益,15.93,5.96,6.38,6.79
1710 東聯,2.66,2.29,-3.82,1.82
1711 永光,1.8,1.06,1.06,1.21
1712 興農,7.21,4.47,12.59,10.22
1713 國化,17.92,2.16,15.21,12.89
1714 和桐,5.61,4.35,2.69,4.95
1717 長興,10.16,6.88,4.05,6.68
1718 中纖,4.35,2.49,7.33,4.8
1720 生達,13.43,6.2,16.86,13.15
1721 三晃,-5.75,-3.84,-12.07,-9.31
1722 台肥,2.69,1.61,7.66,7.59
1723 中碳,6.13,2.04,17.02,13
1725 元禎,15.37,5.28,13.42,7.92
1726 永記,6.36,4.29,8.08,7.36
1727 中華化,1.4,-0.03,3.66,4.18
1730 花仙子,7.29,3.22,12.94,10.38
1731 美吾華,6.43,3.72,9.18,8.11
1732 毛寶,2.59,1.39,-1.12,0.17
1733 五鼎,3.28,1.73,6.58,5.72
1734 杏輝,5.43,3.6,10.07,7.19
1735 日勝化,4.82,3.03,3.84,3.68
1736 喬山,3.7,0.82,3.65,1.92
1737 臺鹽,2.62,1.31,2.83,3.6
1752 南光,4.25,2.37,8.28,9.67
1760 寶齡富錦,3.76,2.63,3.85,2.71
1762 中化生,1.77,0.88,7.89,6.7
1773 勝一,10.43,4.68,18.72,14.34
1776 展宇,4.08,2.93,1.92,1.99
1783 和康生,3.73,-1.04,7.46,7.87
1786 科妍,7.19,3.27,11.37,8.95
1789 神隆,2.36,1.54,1.91,0.74
1795 美時,12.33,5.67,27.34,24.74
1802 台玻,3.94,3.35,-1.86,0.48
1805 寶徠,7.85,2.74,-16.6,-8.73
1806 冠軍,1.12,0.63,0.01,0.35
1808 潤隆,16.15,2.6,79.42,70.43
1809 中釉,1.91,1.59,-2.26,-0.58
1810 和成,2.29,1.42,4.31,3.22
1817 凱撒衛,8.3,4.63,8.76,6.82
1903 士紙,25.31,-10.41,-18.23,-23.81
1904 正隆,2.99,1.84,5.6,4.05
1905 華紙,5.69,3.77,-1.78,-2.4
1906 寶隆,-6.34,0.71,-9.88,-9.8
1907 永豐餘,13.5,6.51,7.59,4.4
1909 榮成,1.04,0.92,-7.1,-6.42
2002 中鋼,2.32,1.29,2.04,1.32
2006 東和鋼鐵,7.62,3.99,15.83,12.03
2007 燁興,-9.21,-3.87,-15.38,-10.65
2008 高興昌,4.7,-1.39,29.77,23.61
2009 第一銅,46.06,25.56,30.52,28.83
2010 春源,5.07,2.98,7.41,5.43
2012 春雨,5.95,2.73,7.32,6.39
2013 中鋼構,3.21,0.9,8.85,4.57
2014 中鴻,-4.82,-2.36,-1.61,-3.28
2015 豐興,6.43,2.65,11.34,8.1
2017 官田鋼,9.85,7.42,5.3,4.97
2020 美亞,17.26,11.32,29.9,19.13
2022 聚亨,-3.1,-0.66,2.65,0.46
2023 燁輝,1.14,1.34,-4.21,-0.01
2024 志聯,0.5,0.07,-4.78,-3.38
2025 千興,-3.09,-4.39,14.98,21.38
2027 大成鋼,8.31,5.43,7.89,12.09
2028 威致,6.45,3.16,9.64,6.59
2029 盛餘,3.27,1.68,5.75,4.63
2030 彰源,5.22,2.01,0.31,2.92
2031 新光鋼,22.27,12.34,21.46,14.74
2032 新鋼,2.45,1,-1.3,-0.72
2033 佳大,0.63,0.37,0.07,-0.73
2034 允強,8.14,6.29,-13.84,-9.66
2038 海光,4.7,0.71,0.64,0.69
2049 上銀,3.36,1.64,5.68,4.96
2059 川湖,16.78,8.27,16.86,13.87
2062 橋椿,7.99,4.58,3.43,4.36
2069 運錩,3.17,-0.82,-5.42,-4.74
2101 南港,7.33,1.91,0.44,1.3
2102 泰豐,-2.03,-1.1,57.33,66.13
2103 台橡,7.29,4.63,8.49,10.88
2104 國際中橡,-1.08,1.31,-0.81,2.45
2105 正新,7.31,4.01,7.23,6.99
2106 建大,9.64,6.38,3.32,5.8
2107 厚生,11.61,4.41,10.57,7.8
2108 南帝,5.21,3.15,6.13,7.18
2109 華豐,6.69,3.73,11.89,8.13
2114 鑫永銓,6.4,3.11,15.4,11.44
2115 六暉-KY,6.45,3.89,3.93,5.57
2201 裕隆,5.8,3.23,9.97,9.56
2204 中華,7.77,3.99,14.88,12.27
2206 三陽工業,12.73,6.52,28.67,25.13
2207 和泰車,16.31,11.85,33.7,29.47
2208 台船,-5.66,-3.43,-50.12,-44.96
2211 長榮鋼,13.77,3.84,20.6,15.72
2227 裕日車,9.95,6.75,3.66,6.12
2228 劍麟,10.98,7.56,11.8,9.1
2231 為升,3.16,2.84,6,7.51
2233 宇隆,12.48,6.71,14.14,12.13
2236 百達-KY,2.69,2.92,8.53,8.48
2239 英利-KY,3.68,2.56,-0.59,0.54
2241 艾姆勒,-4.94,-2.11,-15.59,-11.83
2243 宏旭-KY,8.76,5.91,-26.18,-9.05
2247 汎德永業,7.71,3.43,14.31,11.32
2250 IKKA-KY,5.29,2.89,5.9,5.62
2301 光寶科,10.25,5.96,16.63,16.31
2302 麗正,3.29,1.6,3.29,3.4
2303 聯電,9.37,4.98,19.53,17.06
2305 全友,3.84,2.48,0.25,2.16
2308 台達電,11.48,5.61,16.33,15.47
2312 金寶,4.82,2.96,10.55,11.13
2313 華通,8.21,4.8,9.63,8
2314 台揚,-18.66,-7.93,-30.17,-17.19
2316 楠梓電,5.61,2.77,10.16,2.1
2317 鴻海,7.62,4.59,7.22,7.03
2321 東訊,-0.71,-2.84,2.23,0.69
2323 中環,6.88,-0.65,10.9,6.82
2324 仁寶,9.63,4.75,7.71,8.72
2327 國巨,12.34,7.45,13.2,14.84
2328 廣宇,6.02,3.2,9.2,8.34
2329 華泰,6.49,6.09,20.44,15.01
2330 台積電,14.45,7.46,25.73,19.83
2331 精英,9.11,8.41,8.06,7.09
2332 友訊,3,1.08,4.83,6.31
2337 旺宏,-2.65,-1.09,-1.88,-0.54
2338 光罩,5.72,11.62,3.25,1.63
2340 台亞,-1.61,-1.47,3.27,4.73
2342 茂矽,0.66,-0.45,-7.04,-2.28
2344 華邦電,-0.7,-1.15,-1.25,-2.69
2345 智邦,27.87,18.46,39.2,31.65
2347 聯強,9.14,5.11,7.6,5.56
2348 海悅,18.88,11.75,26.19,12.58
2349 錸德,1.67,1.72,-2.97,-1.02
2351 順德,6.76,3.22,10.78,9.87
2352 佳世達,4.76,3.09,9.84,9.96
2353 宏碁,6.77,5.12,18.33,19.41
2354 鴻準,4.32,2.04,4.19,3.33
2355 敬鵬,5.52,2.77,3.67,3.69
2356 英業達,9.61,6.97,11.46,10.83
2357 華碩,12.35,8.17,16.94,14.2
2358 廷鑫,,,,-24.96
2359 所羅門,1.46,0.65,9.65,10.04
2360 致茂,12.44,5.6,18,15.95
2362 藍天,9.11,6.59,0.65,4.39
2363 矽統,3.36,-1.11,25.38,15.47
2364 倫飛,16.15,6.83,27.19,24.06
2365 昆盈,4.77,2.05,2.92,3.69
2367 燿華,10.47,4.87,-6.79,-2.86
2368 金像電,17.89,9.1,21.38,17.19
2369 菱生,0.47,-1.67,-2.69,-1.74
2371 大同,-0.17,1.26,5.86,4.65
2373 震旦行,8.17,3.84,11.28,9.78
2374 佳能,8.69,2.56,4.23,4.42
2375 凱美,4.47,1.55,3.48,5
2376 技嘉,14.79,5.78,13.27,10.14
2377 微星,9.86,5.6,14.93,14
2379 瑞昱,24.21,11.92,20.93,21.41
2380 虹光,-4.15,1.85,-43.21,-36.24
2382 廣達,18.03,9.55,22.15,19.77
2383 台光電,17.98,8.99,21.18,15.31
2385 群光,16.05,7.3,20.64,17.34
